"plainTextVote","trackerNumber"
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Wardlaw Michael] ",83608013
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",82938267
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Wardlaw Michael] ",10369371
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",97956506
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",94112988
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",86242922
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",40484860
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",85793480
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",26674126
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",86392967
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Scott Michelle] ",57948033
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",98511621
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",42731803
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Scott Michelle] ",36004223
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",55638509
" Contest:[Private Practice Members Representatives][ Sagar Indie] [ Wardlaw Michael] ",83602308
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Scott Michelle] ",13242932
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",14480597
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Wardlaw Michael] ",34020957
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",67928420
" Contest:[Private Practice Members Representatives][ Hargraves Rebecca] [ Sagar Indie] ",23021175
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Connell Roisin] ",97018840
" Contest:[Private Practice Members Representatives][ Connell Roisin] [ Hargraves Rebecca] ",73811587
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",60738659
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",91329878
" Contest:[Private Practice Members Representatives][ Canney Ciaran] [ Hargraves Rebecca] ",75878805
" Contest:[Private Practice Members Representatives][ Scott Michelle] [ Wardlaw Michael] ",67615139
" Contest:[Private Practice Members Representatives][ Canney Ciaran] ",72476179
